175: loss=0.760, reward_mean=-65.2, reward_bound=44.1
176: loss=0.745, reward_mean=-9.0, reward_bound=137.5
177: loss=0.805, reward_mean=-78.8, reward_bound=-75.5
178: loss=0.609, reward_mean=86.5, reward_bound=179.5
179: loss=0.658, reward_mean=46.8, reward_bound=180.1
180: loss=0.729, reward_mean=-5.3, reward_bound=150.3
181: loss=0.684, reward_mean=54.1, reward_bound=177.7
182: loss=0.725, reward_mean=-20.4, reward_bound=165.3
183: loss=0.638, reward_mean=75.2, reward_bound=196.1
184: loss=0.753, reward_mean=73.1, reward_bound=207.6
185: loss=0.704, reward_mean=46.0, reward_bound=139.6
186: loss=0.674, reward_mean=33.7, reward_bound=115.4
187: loss=0.690, reward_mean=74.3, reward_bound=197.0
188: loss=0.675, reward_mean=9.0, reward_bound=42.8
189: loss=0.726, reward_mean=-4.5, reward_bound=54.2
190: loss=0.651, reward_mean=63.8, reward_bound=150.9
191: loss=0.676, reward_mean=12.8, reward_bound=41.0
192: loss=0.634, reward_mean=100.7, reward_bound=193.3
193: loss=0.730, reward_mean=77.9, reward_bound=190.4
194: loss=0.677, reward_mean=20.0, reward_bound=52.3
195: loss=0.747, reward_mean=90.6, reward_bound=176.7
196: loss=0.678, reward_mean=82.8, reward_bound=159.0
197: loss=0.688, reward_mean=70.5, reward_bound=188.3
198: loss=0.727, reward_mean=61.0, reward_bound=150.7
199: loss=0.742, reward_mean=29.8, reward_bound=110.3
200: loss=0.713, reward_mean=71.8, reward_bound=172.1
201: loss=0.788, reward_mean=67.7, reward_bound=168.3
202: loss=0.687, reward_mean=66.2, reward_bound=189.0
203: loss=0.785, reward_mean=89.6, reward_bound=202.4
204: loss=0.776, reward_mean=96.0, reward_bound=193.0
205: loss=0.725, reward_mean=108.9, reward_bound=200.8
206: loss=0.718, reward_mean=88.8, reward_bound=204.8
207: loss=0.733, reward_mean=21.8, reward_bound=113.0
208: loss=0.640, reward_mean=75.5, reward_bound=144.6
209: loss=0.807, reward_mean=80.3, reward_bound=191.6
210: loss=0.575, reward_mean=130.8, reward_bound=216.7
211: loss=0.670, reward_mean=50.3, reward_bound=165.2
212: loss=0.640, reward_mean=68.8, reward_bound=185.5
213: loss=0.726, reward_mean=-9.8, reward_bound=67.4
214: loss=0.578, reward_mean=140.6, reward_bound=217.4
215: loss=0.660, reward_mean=132.7, reward_bound=212.5
216: loss=0.568, reward_mean=26.7, reward_bound=120.4
217: loss=0.601, reward_mean=91.9, reward_bound=210.4
218: loss=0.654, reward_mean=105.0, reward_bound=180.6
219: loss=0.641, reward_mean=78.9, reward_bound=177.5
220: loss=0.589, reward_mean=53.9, reward_bound=160.2
221: loss=0.538, reward_mean=42.2, reward_bound=50.1
222: loss=0.594, reward_mean=53.5, reward_bound=61.0
223: loss=0.643, reward_mean=40.1, reward_bound=55.1
224: loss=0.768, reward_mean=-15.8, reward_bound=-4.2
225: loss=0.656, reward_mean=41.4, reward_bound=121.6
226: loss=0.618, reward_mean=24.7, reward_bound=50.8
227: loss=0.649, reward_mean=8.8, reward_bound=20.9
228: loss=0.579, reward_mean=4.8, reward_bound=4.5
229: loss=0.565, reward_mean=-6.1, reward_bound=9.2
230: loss=0.696, reward_mean=-22.3, reward_bound=7.1
231: loss=0.743, reward_mean=-18.8, reward_bound=-6.9
232: loss=0.568, reward_mean=45.2, reward_bound=112.0
233: loss=0.563, reward_mean=7.0, reward_bound=10.2
234: loss=0.613, reward_mean=44.0, reward_bound=159.9
235: loss=0.626, reward_mean=59.8, reward_bound=142.9
236: loss=0.583, reward_mean=59.6, reward_bound=122.3
237: loss=0.645, reward_mean=4.6, reward_bound=154.3
238: loss=0.609, reward_mean=41.5, reward_bound=108.4
239: loss=0.655, reward_mean=16.2, reward_bound=67.4
240: loss=0.699, reward_mean=1.0, reward_bound=70.8
241: loss=0.695, reward_mean=56.3, reward_bound=116.3
242: loss=0.725, reward_mean=75.0, reward_bound=87.8
243: loss=0.705, reward_mean=29.4, reward_bound=49.4
244: loss=0.674, reward_mean=73.4, reward_bound=185.6
245: loss=0.673, reward_mean=132.7, reward_bound=208.9
246: loss=0.623, reward_mean=100.9, reward_bound=191.1
247: loss=0.624, reward_mean=71.3, reward_bound=140.5
248: loss=0.702, reward_mean=115.2, reward_bound=172.4
249: loss=0.672, reward_mean=90.2, reward_bound=187.8
250: loss=0.612, reward_mean=81.4, reward_bound=171.7
251: loss=0.674, reward_mean=107.0, reward_bound=205.6
252: loss=0.677, reward_mean=127.3, reward_bound=201.7
253: loss=0.690, reward_mean=122.7, reward_bound=203.5
254: loss=0.651, reward_mean=149.0, reward_bound=229.1
255: loss=0.687, reward_mean=146.0, reward_bound=212.4
256: loss=0.697, reward_mean=151.2, reward_bound=215.6
257: loss=0.735, reward_mean=106.2, reward_bound=228.3
258: loss=0.622, reward_mean=149.7, reward_bound=245.2
259: loss=0.693, reward_mean=82.2, reward_bound=205.0
260: loss=0.525, reward_mean=154.0, reward_bound=220.0
261: loss=0.563, reward_mean=126.0, reward_bound=205.4
262: loss=0.580, reward_mean=152.3, reward_bound=207.9
263: loss=0.544, reward_mean=103.0, reward_bound=212.3
264: loss=0.625, reward_mean=93.8, reward_bound=218.6
265: loss=0.719, reward_mean=120.8, reward_bound=229.9
266: loss=0.663, reward_mean=166.4, reward_bound=232.8
267: loss=0.702, reward_mean=72.9, reward_bound=189.7
268: loss=0.643, reward_mean=117.6, reward_bound=208.7
269: loss=0.616, reward_mean=78.4, reward_bound=183.1
270: loss=0.683, reward_mean=77.5, reward_bound=190.6
271: loss=0.749, reward_mean=37.2, reward_bound=160.1
272: loss=0.771, reward_mean=105.8, reward_bound=203.6
273: loss=0.620, reward_mean=42.9, reward_bound=159.7
274: loss=0.635, reward_mean=40.6, reward_bound=165.6
275: loss=0.708, reward_mean=35.6, reward_bound=163.4
276: loss=0.733, reward_mean=102.8, reward_bound=171.6
277: loss=0.747, reward_mean=54.1, reward_bound=154.7
278: loss=0.783, reward_mean=15.3, reward_bound=159.7
279: loss=0.697, reward_mean=123.7, reward_bound=202.2
280: loss=0.794, reward_mean=102.4, reward_bound=201.4
281: loss=0.698, reward_mean=87.4, reward_bound=172.5
282: loss=0.759, reward_mean=63.9, reward_bound=160.4
283: loss=0.761, reward_mean=28.4, reward_bound=138.8
284: loss=0.767, reward_mean=24.1, reward_bound=142.8
285: loss=0.881, reward_mean=-44.9, reward_bound=-3.8
286: loss=0.934, reward_mean=-62.5, reward_bound=-30.0
287: loss=0.963, reward_mean=-79.4, reward_bound=-43.0
288: loss=0.887, reward_mean=-45.5, reward_bound=-49.3
289: loss=0.837, reward_mean=-9.8, reward_bound=-3.6
290: loss=0.774, reward_mean=-43.6, reward_bound=-0.5
